dataset,train_count,val_count,test_count,train_percent,val_percent,test_percent
Image_allyear_merged_512,4148803.0/3778548.0/224932.0/311225.0,1139986.0/924494.0/180057.0/80018.0,865145.0/885119.0/355535.0/85814.0,0.49/0.45/0.03/0.04,0.49/0.4/0.08/0.03,0.39/0.4/0.16/0.04
Image_after_2010_merged_512,1905189.0/1811028.0/220428.0/248171.0,480706.0/498131.0/204321.0/51779.0,452701.0/443461.0/331577.0/95502.0,0.46/0.43/0.05/0.06,0.39/0.4/0.17/0.04,0.34/0.34/0.25/0.07
Image_after_2010_merged_256,717437.0/924223.0/379316.0/187145.0,164872.0/225847.0/267960.0/67227.0,184556.0/173911.0/571480.0/49784.0,0.32/0.42/0.17/0.08,0.23/0.31/0.37/0.09,0.19/0.18/0.58/0.05
Image_allyear_merged_256,1806539.0/1704174.0/374952.0/214871.0,406597.0/427725.0/270849.0/81867.0,391008.0/330605.0/579735.0/50356.0,0.44/0.42/0.09/0.05,0.34/0.36/0.23/0.07,0.29/0.24/0.43/0.04
Image_allyear_merged_1024,5939956.0/5377685.0/121750.0/339950.0,1652174.0/1430504.0/53031.0/78593.0,1305265.0/1045140.0/97230.0/48218.0,0.5/0.46/0.01/0.03,0.51/0.45/0.02/0.02,0.52/0.42/0.04/0.02
Image_after_2010_merged_1024,2550752.0/2237131.0/125176.0/231417.0,702007.0/555985.0/34778.0/49266.0,622282.0/626021.0/109679.0/100244.0,0.5/0.43/0.02/0.04,0.52/0.41/0.03/0.04,0.43/0.43/0.08/0.07
Image_after_2010_VA_512,1905189.0/1811028.0/80533.0/248171.0,480706.0/498131.0/33755.0/51779.0,452701.0/443461.0/11546.0/95502.0,0.47/0.45/0.02/0.06,0.45/0.47/0.03/0.05,0.45/0.44/0.01/0.1
Image_after_2010_VA_256,717437.0/924223.0/95481.0/187145.0,164872.0/225847.0/31131.0/67227.0,184556.0/173911.0/15122.0/49784.0,0.37/0.48/0.05/0.1,0.34/0.46/0.06/0.14,0.44/0.41/0.04/0.12
Image_allyear_VA_512,4148803.0/3778548.0/85037.0/311225.0,1139986.0/924494.0/9491.0/80018.0,865145.0/885119.0/35504.0/85814.0,0.5/0.45/0.01/0.04,0.53/0.43/0.0/0.04,0.46/0.47/0.02/0.05
Image_allyear_VA_256,1806539.0/1704174.0/91117.0/214871.0,406597.0/427725.0/34020.0/81867.0,391008.0/330605.0/23377.0/50356.0,0.47/0.45/0.02/0.06,0.43/0.45/0.04/0.09,0.49/0.42/0.03/0.06
